,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
11,GO:0009653,anatomical structure morphogenesis,1.137E-05,4.450E-03,108,ACVR2A|ADAM15|ADAM17|AGRN|AMELX|APOE|APP|BMP10|BMP4|BMPR1A|BMPR2|CD151|CDH1|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|CTGF|CXCR2|CXCR3|DDR1|DKK1|EFNB1|EFNB2|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|EREG|FAP|FASLG|FBN1|FGF4|FGF6|FGFR1|FGFR3|GDF2|HAS2|HHIP|IGF2|IHH|IL7|IL7R|IL8|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|ITGB5|JAG1|JMJD6|L1CAM|LAMA5|LAMB1|LAMB3|LAMC2|LDLR|LIF|LRP1|LRP5|MET|MFAP2|MFGE8|MMP9|MYLK|MYLK2|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|PVRL1|PVRL2|SCN10A|SDC4|SEMA3A|SEMA3C|SEMA4D|SEMA5A|SERPINE1|SERPINE2|SPINT1|ST14|TDGF1|TGFB3|TGFBR2|THBS1|TNC|TNF|TNFSF11|VEGFA
12,GO:0009790,embryo development,1.158E-05,4.450E-03,52,ACVR1B|ACVR2A|BMP4|BMPR1A|BMPR2|COL1A1|COL2A1|COL5A2|COL7A1|DKK1|EFNB1|EGFR|EPHA2|EPHB2|FBN1|FGF4|FGFR1|IGF2|IHH|IL8|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGAV|ITGB1|ITGB4|ITGB5|LAMA5|LAMB1|LAMB3|LIF|LRP5|MFAP2|MMP9|NOTCH1|NRP2|PDGFA|PDGFRA|PSEN1|SCT|SDC4|SEMA3A|SEMA3C|SPINT1|ST14|TDGF1|TGFB3|TGFBR2|TNF|VEGFA
13,GO:0046718,viral entry into host cell,1.179E-05,4.450E-03,20,CD55|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14
14,GO:0072358,cardiovascular system development,1.834E-05,6.148E-03,54,ADAM15|APOE|BMP4|BMPR1A|BMPR2|COL1A1|COL1A2|COL3A1|COL4A1|COL5A1|CTGF|CXCR3|EFNB2|EPHA1|EPHA2|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|HAS2|IHH|IL8|ITGA5|ITGAV|ITGB1|JAG1|JMJD6|KCNQ1|LAMA5|LDLR|LIF|LRP1|LRP5|MFGE8|MYLK|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|SEMA3C|SEMA5A|SERPINE1|SPINT1|TDGF1|TGFBR2|THBS1|VEGFA
15,GO:2001236,regulation of extrinsic apoptotic signaling pathway,1.880E-05,6.148E-03,21,BMP4|COL2A1|FAS|FASLG|FGA|FGFR1|ICAM1|IL1A|IL1B|IL7|INHBA|ITGA6|ITGAV|PF4|SERPINE1|THBS1|TNF|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2
16,GO:0044403,symbiotic process,2.760E-05,8.460E-03,36,APOE|B2M|CALM1|CALM2|CALM3|CCR2|CD247|CD55|CDH1|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|IGF2R|IL2RG|IL6ST|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|MET|NRP2|PDGFRA|PF4|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14|UBA52
17,GO:0043062,extracellular structure organization,3.370E-05,9.274E-03,51,ADAM15|AGRN|APOE|APP|CDH1|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|CTGF|DDR1|F11R|FBN1|FGA|HAS2|ICAM1|IHH|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAE|ITGAV|ITGB1|ITGB4|ITGB5|LAMA5|LAMB1|LAMB3|LAMC2|MFAP2|MMP9|PDGFA|PDGFRA|SCARB1|SERPINE1|SPINT1|THBS1|TIMP1|TIMP2|TNC|TNF|TNFRSF11B|VWF
18,GO:0001944,vasculature development,3.403E-05,9.274E-03,53,ADAM15|APOE|BMP4|BMPR1A|BMPR2|COL1A1|COL1A2|COL3A1|COL4A1|COL5A1|CTGF|CXCR3|EFNB2|EPHA1|EPHA2|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|HAS2|IHH|IL8|ITGA5|ITGAV|ITGB1|JAG1|JMJD6|LAMA5|LDLR|LIF|LRP1|LRP5|MFGE8|MYLK|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|SEMA3C|SEMA5A|SERPINE1|SPINT1|TDGF1|TGFBR2|THBS1|VEGFA
19,GO:0001568,blood vessel development,4.165E-05,1.070E-02,52,ADAM15|APOE|BMP4|BMPR1A|BMPR2|COL1A1|COL1A2|COL3A1|COL4A1|COL5A1|CTGF|CXCR3|EFNB2|EPHA1|EPHA2|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|HAS2|IHH|IL8|ITGA5|ITGAV|ITGB1|JAG1|JMJD6|LAMA5|LDLR|LRP1|LRP5|MFGE8|MYLK|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|SEMA3C|SEMA5A|SERPINE1|SPINT1|TDGF1|TGFBR2|THBS1|VEGFA
20,GO:0035295,tube development,4.364E-05,1.070E-02,68,ADAM15|APOE|BMP4|BMPR1A|BMPR2|COL2A1|COL3A1|COL4A1|CTGF|CXCR2|CXCR3|DDR1|EFNB2|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|HAS2|HHIP|IHH|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|JAG1|JMJD6|LAMA5|LDLR|LIF|LRP1|LRP5|MET|MFGE8|MYLK|NOTCH1|NPY|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|SCT|SDC4|SEMA3C|SEMA5A|SERPINE1|SERPINE2|SPINT1|ST14|TDGF1|TGFB3|TGFBR2|THBS1|TNC|TNF|VEGFA
21,GO:0048729,tissue morphogenesis,4.788E-05,1.118E-02,46,ADAM17|BMP10|BMP4|BMPR1A|BMPR2|CD151|COL3A1|COL4A1|COL5A1|COL6A2|COL6A3|COL7A1|CXCR2|DDR1|DKK1|EFNB2|EGFR|EPHA2|EPHA7|FGFR1|GDF2|HHIP|IHH|INHBA|ITGA2|ITGA3|ITGA5|ITGB1|ITGB4|JAG1|LAMA5|LRP5|MET|MYLK|MYLK2|NOTCH1|NRP2|PSEN1|SDC4|SEMA3A|SEMA3C|SPINT1|ST14|TGFBR2|TNC|VEGFA
22,GO:0001704,formation of primary germ layer,5.211E-05,1.162E-02,18,BMP4|BMPR1A|BMPR2|COL7A1|DKK1|EPHA2|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGAV|ITGB1|ITGB4|ITGB5|LAMB1|LAMB3|MMP9
23,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,6.474E-05,1.310E-02,9,FAS|FASLG|FGA|ICAM1|SERPINE1|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2
24,GO:0010632,regulation of epithelial cell migration,6.661E-05,1.310E-02,27,ADAM17|ADAM9|APOE|BMP10|BMP4|BMPR2|CCR6|EPHA2|FGF4|FGFR1|GDF2|HAS2|IFNG|IL4|ITGA2|ITGA3|MET|MMP9|NOTCH1|NRP2|SCARB1|SEMA3A|SEMA5A|TDGF1|TGFBR2|THBS1|VEGFA
25,GO:0007369,gastrulation,6.815E-05,1.310E-02,21,ACVR2A|BMP4|BMPR1A|BMPR2|COL7A1|DKK1|EPHA2|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGAV|ITGB1|ITGB4|ITGB5|LAMB1|LAMB3|LRP5|MMP9|TGFBR2
26,GO:0060548,negative regulation of cell death,6.974E-05,1.310E-02,58,APOE|BMP4|CD74|COL2A1|CTGF|CXCR2|DKK1|EGFR|ERBB3|FAS|FASLG|FGA|FGF21|FGF4|HHIP|HLA-F|HSP90B1|ICAM1|IHH|IL1A|IL1B|IL2|IL4|IL6ST|IL7|IL7R|ITGA5|ITGA6|ITGAV|ITGB1|LRP1|LRPAP1|MET|MMP9|NOTCH1|PDGFRB|PF4|PLAUR|PSEN1|PTMA|SEMA4D|SEMA5A|SERPINE1|SORL1|TDGF1|TGFB3|THBS1|TIMP1|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF1B|TNFRSF6B|TNFSF10|TRAF2|UBA52|VEGFA
27,GO:0070848,response to growth factor,7.361E-05,1.310E-02,46,ACVR1B|ACVR2A|ADAM9|APP|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CGN|COL1A1|COL1A2|COL2A1|COL3A1|CTGF|EGFR|EPHA2|ERBB2|F11R|FASLG|FBN1|FGF21|FGF4|FGF6|FGFR1|FGFR3|FGFR4|GDF2|HAS2|IL8|ITGB1|ITGB5|LRP8|NOTCH1|NRP2|PDGFRA|PDGFRB|SPINT1|TDGF1|TGFB3|TGFBR2|THBS1|TNC|TNFRSF1B|UBA52|VEGFA
28,GO:0043069,negative regulation of programmed cell death,7.504E-05,1.310E-02,53,APOE|BMP4|CD74|COL2A1|CXCR2|DKK1|EGFR|ERBB3|FAS|FASLG|FGA|FGF21|FGF4|HHIP|HSP90B1|ICAM1|IHH|IL1A|IL1B|IL2|IL4|IL6ST|IL7|IL7R|ITGA5|ITGA6|ITGAV|ITGB1|LRP1|MET|MMP9|NOTCH1|PDGFRB|PF4|PLAUR|PSEN1|PTMA|SEMA4D|SEMA5A|SERPINE1|TDGF1|TGFB3|THBS1|TIMP1|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF6B|TNFSF10|TRAF2|UBA52|VEGFA
29,GO:0030155,regulation of cell adhesion,7.748E-05,1.310E-02,61,ADAM15|ADAM9|BMP4|CCR2|CD55|CD74|CDH1|COL1A1|CXCR3|DDR1|EFNB1|EFNB2|EPHA1|EPHA2|EPHA7|EPHB3|ERBB2|ERBB3|FGA|HAS2|HLA-E|ICAM1|IFNG|IGF2|IHH|IL1B|IL2|IL4|IL4R|IL6ST|IL7|IL7R|IL8|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|JAG1|LAMA5|LRP1|MFI2|MLLT4|NOTCH1|PLAU|SDC4|SEMA4D|SEMA5A|SERPINE1|SERPINE2|TFRC|TGFBR2|THBS1|TNC|TNF|TNFRSF14|TNFRSF21|TNFSF11|TNFSF9|VEGFA
30,GO:0048513,animal organ development,8.128E-05,1.329E-02,124,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM9|AGRN|AMELX|AMELY|APP|B2M|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CALM1|CALM2|CALM3|CCR2|CCR6|CD3D|CD3G|CD74|CDH1|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|CTGF|CXCL10|CXCR2|DDR1|DKK1|EFNB1|EFNB2|EGFR|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|EREG|FARP2|FASLG|FBN1|FGF4|FGF6|FGFR1|FGFR3|GDF2|HAS2|HHIP|ICAM1|IGF2|IGF2R|IHH|IL2|IL4|IL7|IL7R|IL8|INHBA|ITGA2|ITGA3|ITGA4|ITGA6|ITGB1|ITGB4|JAG1|JMJD6|KCNQ1|LAMA5|LAMB1|LAMB3|LAMC2|LIF|LRP1|LRP5|LRP8|LTA|MET|MFAP2|MMP9|MYLK|MYLK2|NOTCH1|NPY|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|PVRL1|SCN10A|SCT|SDC4|SEMA3A|SEMA3C|SEMA4D|SEMA5A|SERPINE1|SERPINE2|SPINT1|ST14|TDGF1|TFRC|TGFB3|TGFBR2|TIMP1|TNC|TNF|TNFRSF1B|TNFSF10|TNFSF11|VEGFA
31,GO:1900221,regulation of amyloid-beta clearance,8.886E-05,1.406E-02,7,APOE|IFNG|IFNGR1|IL4|LRP1|LRPAP1|TNF
32,GO:0044419,interspecies interaction between organisms,1.013E-04,1.524E-02,36,APOE|B2M|CALM1|CALM2|CALM3|CCR2|CD247|CD55|CDH1|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|IGF2R|IL2RG|IL6ST|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|MET|NRP2|PDGFRA|PF4|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14|UBA52
33,GO:0048646,anatomical structure formation involved in morphogenesis,1.025E-04,1.524E-02,63,ADAM15|ADAM17|AMELX|BMP10|BMP4|BMPR1A|BMPR2|COL1A1|COL2A1|COL4A1|COL7A1|CTGF|CXCR3|DKK1|EFNB2|EPHA1|EPHA2|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|IHH|IL8|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|ITGB5|JAG1|JMJD6|LAMA5|LAMB1|LAMB3|MFGE8|MMP9|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|PVRL1|PVRL2|SDC4|SEMA3C|SEMA5A|SERPINE1|SPINT1|ST14|TDGF1|TGFBR2|THBS1|VEGFA
34,GO:0072359,circulatory system development,1.060E-04,1.529E-02,62,ADAM15|APOE|BMP10|BMP4|BMPR1A|BMPR2|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|CTGF|CXCR3|EFNB2|EPHA1|EPHA2|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|EREG|FAP|FBN1|FGF6|FGFR1|GDF2|HAS2|IHH|IL8|ITGA3|ITGA5|ITGAV|ITGB1|JAG1|JMJD6|KCNQ1|LAMA5|LDLR|LIF|LRP1|LRP5|MFGE8|MYLK|MYLK2|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|SEMA3C|SEMA5A|SERPINE1|SPINT1|TDGF1|TGFBR2|THBS1|TNFRSF1B|VEGFA
35,GO:0043066,negative regulation of apoptotic process,1.107E-04,1.551E-02,52,APOE|BMP4|CD74|COL2A1|CXCR2|DKK1|EGFR|ERBB3|FAS|FASLG|FGA|FGF21|FGF4|HHIP|HSP90B1|ICAM1|IHH|IL1A|IL1B|IL2|IL4|IL6ST|IL7|IL7R|ITGA5|ITGA6|ITGAV|ITGB1|LRP1|MMP9|NOTCH1|PDGFRB|PF4|PLAUR|PSEN1|PTMA|SEMA4D|SEMA5A|SERPINE1|TDGF1|TGFB3|THBS1|TIMP1|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF6B|TNFSF10|TRAF2|UBA52|VEGFA
36,GO:0042476,odontogenesis,1.293E-04,1.762E-02,18,AMELX|BMP4|BMPR1A|COL1A1|COL1A2|FGF4|INHBA|ITGA6|ITGB4|LAMA5|LAMB1|PDGFRA|PVRL1|SCN10A|SERPINE1|TGFB3|TNC|TNFSF11
37,GO:0002376,immune system process,1.401E-04,1.858E-02,117,ADAM15|ADAM17|ADAM9|APP|B2M|BMP4|BMPR1A|C4BPA|CANX|CCL20|CCL24|CCR2|CCR6|CD151|CD1B|CD247|CD3D|CD3G|CD55|CD63|CD74|CD97|COL1A1|COL1A2|CR1|CXCL1|CXCL10|CXCL2|CXCL3|CXCR1|CXCR2|CXCR3|EFNB1|EFNB2|EMR2|EPHA2|EPHB1|EPHB3|F11R|FARP2|FAS|FASLG|FCN2|FGA|GZMB|HLA-E|HLA-F|HSP90B1|ICAM1|IFNG|IFNGR1|IGF2R|IL1A|IL1B|IL1R2|IL2|IL2RG|IL4|IL4R|IL7|IL7R|IL8|INHBA|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|ITGB5|JAG1|JMJD6|KCNN4|KIR2DL1|KIR2DL3|KLRD1|L1CAM|LAMP1|LIF|LRP1|LRP5|LTA|MMP9|NOTCH1|PDGFRA|PDGFRB|PF4|PGRMC1|PLAU|PLAUR|PPBP|PSEN1|PVRL1|SDC4|SELL|SEMA3C|SEMA4D|TDGF1|TFRC|TGFBR2|THBS1|TIMP2|TLR4|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF14|TNFRSF1B|TNFRSF21|TNFSF10|TNFSF11|TNFSF13|TNFSF9|UBA52|VEGFA|XCR1
38,GO:0043170,macromolecule metabolic process,1.527E-04,1.971E-02,103,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM2|ADAM28|ADAM9|AGRN|AMELX|APOE|APP|B2M|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CALM1|CCR6|CHRM3|COL2A1|COL3A1|COL5A1|CTGF|CXCR1|CXCR2|DDR1|DUSP18|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|EREG|F9|FAP|FBN1|FGA|FGF4|FGF6|FGFR1|FGFR3|FGFR4|GDF2|GZMB|HAS2|HMMR|HSP90B1|IGF2|IHH|IL1B|IL2|IL2RG|IL4|IL6ST|IL8|INHBA|ITGAV|ITGB1|JMJD6|LAMB1|LDLR|LIF|LRP1|LRP8|MET|MFGE8|MFI2|MMP9|MUSK|MYLK|MYLK2|NOTCH1|PDGFA|PDGFRA|PDGFRB|PLAT|PLAU|PSEN1|PTMA|RBP3|RPSA|SDC4|SORL1|ST14|TDGF1|TFRC|TGFBR2|THBS1|TIMP1|TLR4|TNC|TNF|TNFSF11|TRAF2|UBA52|VWF|YARS
39,GO:0016032,viral process,1.599E-04,2.008E-02,29,APOE|B2M|CCR2|CD247|CD55|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|IL2RG|IL6ST|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|NRP2|PDGFRA|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14|UBA52
40,GO:0033627,cell adhesion mediated by integrin,1.637E-04,2.008E-02,11,ADAM17|ADAM9|FBN1|ICAM1|ITGA2|ITGA4|ITGA5|ITGAV|ITGB1|ITGB4|ITGB5
41,GO:2001233,regulation of apoptotic signaling pathway,1.959E-04,2.343E-02,26,BMP4|CD74|COL2A1|FAS|FASLG|FGA|FGFR1|GZMB|ICAM1|IL1A|IL1B|IL7|INHBA|ITGA6|ITGAV|MMP9|PF4|PLAUR|PSEN1|SERPINE1|THBS1|TNF|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2
42,GO:0097191,extrinsic apoptotic signaling pathway,2.229E-04,2.603E-02,16,ACVR1B|ERBB3|FAS|FASLG|FGFR3|IFNG|IL1A|IL1B|IL2|INHBA|ITGAV|TNF|TNFRSF10A|TNFRSF10B|TNFRSF1B|TRAF2
43,GO:0048705,skeletal system morphogenesis,2.371E-04,2.679E-02,20,BMP4|BMPR2|COL1A1|COL2A1|COL6A2|COL6A3|COL7A1|CTGF|FGF4|FGF6|FGFR1|FGFR3|HAS2|HHIP|IHH|LRP5|PDGFRA|PSEN1|TGFB3|TGFBR2
44,GO:0051043,regulation of membrane protein ectodomain proteolysis,2.468E-04,2.679E-02,8,ADAM9|APOE|IFNG|IL1B|TIMP1|TIMP2|TNF|TNFRSF1B
45,GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,2.571E-04,2.679E-02,10,FAS|FASLG|FGA|ICAM1|SERPINE1|THBS1|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2
46,GO:0043067,regulation of programmed cell death,2.632E-04,2.679E-02,73,ADAM17|APOE|BMP10|BMP15|BMP4|BMPR1A|CD3G|CD74|COL2A1|CTGF|CXCL10|CXCR2|DKK1|EGFR|EPHA7|ERBB3|FAP|FAS|FASLG|FGA|FGF21|FGF4|FGFR1|GDF2|GZMB|HHIP|HSP90B1|ICAM1|IFNG|IGF2R|IHH|IL1A|IL1B|IL2|IL4|IL6ST|IL7|IL7R|INHBA|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|LRP1|LRP8|LTA|MET|MMP9|NOTCH1|PDGFRB|PF4|PLAUR|PSEN1|PTMA|SEMA4D|SEMA5A|SERPINE1|TDGF1|TGFB3|THBS1|TIMP1|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF1B|TNFRSF6B|TNFSF10|TNFSF9|TRAF2|UBA52|VEGFA
47,GO:0030323,respiratory tube development,2.649E-04,2.679E-02,19,BMP4|BMPR1A|BMPR2|CTGF|EGFR|FGFR1|HHIP|ITGA3|JMJD6|LAMA5|LIF|NOTCH1|PDGFA|PDGFRA|PDGFRB|TGFB3|TGFBR2|TNC|VEGFA
48,GO:0030324,lung development,2.649E-04,2.679E-02,19,BMP4|BMPR1A|BMPR2|CTGF|EGFR|FGFR1|HHIP|ITGA3|JMJD6|LAMA5|LIF|NOTCH1|PDGFA|PDGFRA|PDGFRB|TGFB3|TGFBR2|TNC|VEGFA
49,GO:0048598,embryonic morphogenesis,2.676E-04,2.679E-02,37,ACVR2A|BMP4|BMPR1A|BMPR2|COL2A1|COL7A1|DKK1|EPHA2|EPHB2|FBN1|FGF4|FGFR1|IGF2|IHH|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGAV|ITGB1|ITGB4|ITGB5|LAMA5|LAMB1|LAMB3|LRP5|MFAP2|MMP9|NOTCH1|PDGFRA|PSEN1|SDC4|SPINT1|ST14|TGFB3|TGFBR2
50,GO:0010941,regulation of cell death,2.857E-04,2.802E-02,79,ADAM17|APOE|BMP10|BMP15|BMP4|BMPR1A|CD3G|CD74|COL2A1|CTGF|CXCL10|CXCR2|DKK1|EFNB2|EGFR|EPHA7|EPHB1|ERBB3|FAP|FAS|FASLG|FGA|FGF21|FGF4|FGFR1|GDF2|GZMB|HHIP|HLA-F|HSP90B1|ICAM1|IFNG|IGF2R|IHH|IL1A|IL1B|IL2|IL4|IL6ST|IL7|IL7R|INHBA|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|LRP1|LRP8|LRPAP1|LTA|MET|MMP9|NOTCH1|PDGFRB|PF4|PLAUR|PSEN1|PTMA|SEMA4D|SEMA5A|SERPINE1|SORL1|TDGF1|TGFB3|THBS1|TIMP1|TLR4|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF1B|TNFRSF6B|TNFSF10|TNFSF9|TRAF2|UBA52|VEGFA
