,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
19,GO:2000147,positive regulation of cell motility,1.270E-04,2.929E-02,22,ADAM17|CAV1|COL1A1|CXCL12|CYR61|FN1|GPI|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMC2|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
20,GO:0044085,cellular component biogenesis,1.271E-04,2.929E-02,20,AMFR|BDNF|CAV1|CD9|COL1A1|COL1A2|COL6A1|COL6A2|COL7A1|CXCL12|FN1|ITGA5|ITGA6|ITGB1|LAMB3|LAMC1|LAMC2|RYK|TGM2|WNT5A
21,GO:0022607,cellular component assembly,1.271E-04,2.929E-02,20,AMFR|BDNF|CAV1|CD9|COL1A1|COL1A2|COL6A1|COL6A2|COL7A1|CXCL12|FN1|ITGA5|ITGA6|ITGB1|LAMB3|LAMC1|LAMC2|RYK|TGM2|WNT5A
22,GO:2000535,regulation of entry of bacterium into host cell,1.338E-04,2.929E-02,3,CAV1|IL8|ITGAV
23,GO:0007229,integrin-mediated signaling pathway,1.420E-04,2.929E-02,9,COL3A1|CTGF|FBLN1|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|SEMA7A
24,GO:0009887,animal organ morphogenesis,1.493E-04,2.929E-02,22,CAV1|COL1A1|COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|COL7A1|CTGF|CYR61|ITGA6|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|RYK|TGM2|TNC|VEGFA|VEGFC|WNT5A
25,GO:0051272,positive regulation of cellular component movement,1.493E-04,2.929E-02,22,ADAM17|CAV1|COL1A1|CXCL12|CYR61|FN1|GPI|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMC2|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
26,GO:0040017,positive regulation of locomotion,1.893E-04,3.570E-02,22,ADAM17|CAV1|COL1A1|CXCL12|CYR61|FN1|GPI|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMC2|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
27,GO:0007492,endoderm development,2.171E-04,3.943E-02,7,COL6A1|COL7A1|FN1|ITGA5|ITGAV|LAMB3|LAMC1
28,GO:0032989,cellular component morphogenesis,2.311E-04,4.048E-02,20,BDNF|CD9|COL6A1|COL6A2|COL7A1|CXCL12|FN1|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|RELN|RYK|SEMA7A|VEGFA|WNT5A
29,GO:0035987,endodermal cell differentiation,2.447E-04,4.139E-02,6,COL6A1|COL7A1|FN1|ITGA5|ITGAV|LAMB3
30,GO:0016477,cell migration,2.619E-04,4.282E-02,28,ADAM17|CAV1|COL1A1|COL1A2|CTGF|CXCL12|CXCR1|CYR61|FN1|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMB3|LAMC1|LAMC2|LAMC3|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
31,GO:0006928,movement of cell or subcellular component,2.960E-04,4.388E-02,31,ADAM17|BDNF|CAV1|COL1A1|COL1A2|CTGF|CXCL12|CXCR1|CYR61|FN1|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|PLAU|RELN|RYK|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
32,GO:0071230,cellular response to amino acid stimulus,2.993E-04,4.388E-02,5,COL1A1|COL1A2|COL3A1|COL5A2|COL6A1
33,GO:0061387,regulation of extent of cell growth,3.046E-04,4.388E-02,9,BDNF|CXCL12|FN1|L1CAM|RYK|SEMA7A|SPP1|VEGFA|WNT5A
34,GO:0051674,localization of cell,3.161E-04,4.388E-02,28,ADAM17|CAV1|COL1A1|COL1A2|CTGF|CXCL12|CXCR1|CYR61|FN1|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMB3|LAMC1|LAMC2|LAMC3|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
35,GO:0048870,cell motility,3.161E-04,4.388E-02,28,ADAM17|CAV1|COL1A1|COL1A2|CTGF|CXCL12|CXCR1|CYR61|FN1|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMB3|LAMC1|LAMC2|LAMC3|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
36,GO:0048646,anatomical structure formation involved in morphogenesis,3.220E-04,4.388E-02,22,ADAM17|CAV1|CD9|COL1A1|COL6A1|COL7A1|CTGF|CYR61|FN1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMB3|RELN|TGM2|THBS1|VEGFA|VEGFC|WNT5A
37,GO:0001706,endoderm formation,3.356E-04,4.402E-02,6,COL6A1|COL7A1|FN1|ITGA5|ITGAV|LAMB3
38,GO:0051270,regulation of cellular component movement,3.410E-04,4.402E-02,27,ADAM17|CAV1|CD9|COL1A1|COL3A1|CXCL12|CYR61|FBLN1|FN1|GPI|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMA2|LAMC2|PLAU|RELN|RYK|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
39,GO:0040012,regulation of locomotion,3.632E-04,4.568E-02,27,ADAM17|CAV1|CD9|COL1A1|COL3A1|CXCL12|CYR61|FBLN1|FN1|GPI|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMA2|LAMC2|PLAU|RELN|RYK|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
40,GO:0031581,hemidesmosome assembly,3.953E-04,4.847E-02,4,ITGA6|LAMB3|LAMC1|LAMC2
