,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
11,GO:0140096,"catalytic activity, acting on a protein",8.664E-04,4.555E-02,45,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM2|ADAM28|ADAM9|BMPR1A|BMPR2|DDR1|DUSP18|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|F9|FAP|FGFR1|FGFR3|FGFR4|GZMB|IGF2R|IHH|JMJD6|MET|MMP9|MUSK|MYLK|MYLK2|NRP2|PDGFRA|PDGFRB|PLAT|PLAU|PSEN1|RBP3|ST14|TGFBR2|TRAF2
12,GO:0019199,transmembrane receptor protein kinase activity,9.125E-04,4.555E-02,25,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|IGF2R|MET|MUSK|NRP2|PDGFRA|PDGFRB|TGFBR2
13,GO:0005524,ATP binding,1.323E-03,4.643E-02,27,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|HSP90B1|MET|MUSK|MYLK|MYLK2|PDGFRA|PDGFRB|TGFBR2|YARS
14,GO:0032559,adenyl ribonucleotide binding,1.323E-03,4.643E-02,27,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|HSP90B1|MET|MUSK|MYLK|MYLK2|PDGFRA|PDGFRB|TGFBR2|YARS
15,GO:0004672,protein kinase activity,1.323E-03,4.643E-02,27,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|IGF2R|MET|MUSK|MYLK|MYLK2|NRP2|PDGFRA|PDGFRB|TGFBR2
16,GO:0030554,adenyl nucleotide binding,1.323E-03,4.643E-02,27,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|HSP90B1|MET|MUSK|MYLK|MYLK2|PDGFRA|PDGFRB|TGFBR2|YARS
17,GO:0005198,structural molecule activity,1.439E-03,4.643E-02,29,AGRN|AMELX|AMELY|APOE|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|FBN1|FGA|JAG1|LAMA5|LAMB1|LAMB3|LAMC2|MFAP2|MFGE8|RPSA|THBS1|THBS2|TNC|UBA52|VWF
18,GO:0043167,ion binding,1.529E-03,4.643E-02,94,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM28|ADAM9|AGRN|APOE|APP|BMP4|BMPR1A|BMPR2|CALM1|CALM2|CALM3|CANX|CD97|CDH1|CHRM3|COL1A1|COL1A2|COL2A1|COL3A1|COL5A1|COL5A2|CTGF|CXCL10|DDR1|EGFR|EMR2|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|F9|FBN1|FCN2|FGA|FGF4|FGFR1|FGFR3|FGFR4|HHIP|HMMR|HSP90B1|IGF2R|IHH|IL1A|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAE|ITGAV|ITGB1|JAG1|JMJD6|KCNQ1|LAMC2|LDLR|LRP1|LRP8|LRPAP1|MET|MFGE8|MFI2|MMP9|MUSK|MYLK|MYLK2|NOTCH1|NRP2|PDGFRA|PDGFRB|PF4|SCARB1|SELL|SEMA5A|SERPINE2|TGFBR2|THBS1|THBS2|TIMP1|TIMP2|TNFSF10|TRAF2|VEGFA|YARS
19,GO:0097367,carbohydrate derivative binding,1.545E-03,4.643E-02,56,ACVR1B|ACVR2A|AGRN|APOE|APP|BMP4|BMPR1A|BMPR2|COL2A1|COL5A1|CTGF|CXCL10|DDR1|EGFR|EMR2|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FBN1|FCN2|FGF4|FGFR1|FGFR3|FGFR4|HMMR|HSP90B1|IL2|ITGA2|LAMC2|LRP1|LRPAP1|MET|MUSK|MYLK|MYLK2|NRP2|PDGFRA|PDGFRB|PF4|SCARB1|SELL|SEMA5A|SERPINE2|TGFBR2|THBS1|THBS2|TLR4|TNC|VEGFA|YARS
20,GO:0016301,kinase activity,1.657E-03,4.643E-02,27,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|IGF2R|MET|MUSK|MYLK|MYLK2|NRP2|PDGFRA|PDGFRB|TGFBR2
21,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",1.657E-03,4.643E-02,27,ACVR1B|ACVR2A|BMPR1A|BMPR2|DDR1|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|IGF2R|MET|MUSK|MYLK|MYLK2|NRP2|PDGFRA|PDGFRB|TGFBR2
22,GO:0046872,metal ion binding,1.705E-03,4.643E-02,60,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM28|ADAM9|AGRN|APOE|APP|BMPR1A|BMPR2|CALM1|CALM2|CALM3|CANX|CD97|CDH1|COL1A1|COL1A2|COL2A1|COL3A1|COL5A1|COL5A2|DDR1|EMR2|F9|FBN1|FCN2|FGA|HHIP|HSP90B1|IHH|IL1A|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAE|ITGAV|ITGB1|JAG1|JMJD6|LDLR|LRP1|LRP8|MFI2|MMP9|MUSK|MYLK|NOTCH1|NRP2|SELL|TGFBR2|THBS1|THBS2|TIMP1|TIMP2|TNFSF10|TRAF2
