,GO_term_ID,GO_term_def,NofGenes,Genes
21,GO:0007267,cell-cell signaling,12,CALM1|CD24|CD34|CHRM3|EFNB1|EPHB2|GRM3|HGF|IL1B|IL2|KCNQ1|UBA52
22,GO:0061024,membrane organization,11,APOB|CALM3|CD24|CD36|CD3G|EPHB2|GDNF|LDLR|TFRC|THBS1|UBA52
23,GO:0009058,biosynthetic process,11,ANGPT1|APOB|COL1A1|HSPG2|IL1B|PDE1A|SDC2|SDC4|TGFB2|UBA52|VCAN
24,GO:0000003,reproduction,11,ACVR1|ADAM28|APOB|IL1B|INSR|ITGA2|ITGA5|ITGB1|LEPR|TGFB2|TGFBR2
25,GO:0065003,protein-containing complex assembly,10,ANGPT1|APOB|B2M|CD3G|COL1A1|FARP2|FAS|IL2RB|INSR|UBA52
26,GO:0015031,protein transport,10,APOB|CALCRL|CD24|CD36|CD3G|COL1A1|LILRB1|LRP1|TFRC|UBA52
27,GO:0050877,nervous system process,10,B2M|CD36|COL1A1|EPHB2|INSR|ITGA2|ITGA5|ITGB1|KCNQ1|LDLR
28,GO:0006629,lipid metabolic process,9,APOB|APOD|CD36|HSPG2|LDLR|LEPR|LRP1|SDC2|SDC4
29,GO:0008283,cell population proliferation,9,CD34|HGF|ITGA2|LAMA5|LEPR|LILRB1|LRP1|TGFB2|TGFBR2
30,GO:0003013,circulatory system process,7,ADM2|ANGPT1|CD34|CHRM3|CXCR2|ITGA1|KCNQ1
31,GO:0008219,cell death,7,CD24|FAS|IL1B|IL2|IL2RA|TGFB2|TGFBR2
32,GO:0007049,cell cycle,7,ACVR1|CALM3|HGF|IL8|ITGB1|TGFB2|THBS1
33,GO:0040007,growth,7,APOD|ITGA4|ITGB1|LEPR|SEMA7A|TGFB2|TGFBR2
34,GO:0034330,cell junction organization,5,ITGA2|ITGA5|ITGA6|LAMA5|TGFB2
35,GO:0007568,aging,5,APOD|B2M|LRP1|SERPINE1|TGFBR2
36,GO:0007010,cytoskeleton organization,4,CXCL1|FARP2|ITGB1|LAMA5
37,GO:0000278,mitotic cell cycle,4,ACVR1|CALM3|HGF|ITGB1
38,GO:0005975,carbohydrate metabolic process,4,APOD|CALM1|INSR|LEPR
39,GO:0034641,cellular nitrogen compound metabolic process,3,KCNQ1|PDE1A|UBA52
40,GO:0006091,generation of precursor metabolites and energy,2,CALM1|LEPR
41,GO:0034655,nucleobase-containing compound catabolic process,2,PDE1A|UBA52
42,GO:0021700,developmental maturation,2,FARP2|RET
43,GO:0006790,sulfur compound metabolic process,2,ANGPT1|VCAN
44,GO:0055085,transmembrane transport,2,KCNQ1|UBA52
45,GO:0051276,chromosome organization,1,UBA52
46,GO:0006259,DNA metabolic process,1,UBA52
47,GO:0006412,translation,1,UBA52
48,GO:0006457,protein folding,1,B2M
49,GO:0051301,cell division,1,TGFB2
50,GO:0051186,cofactor metabolic process,1,CALM1
51,GO:0007034,vacuolar transport,1,LRP1
52,GO:0007005,mitochondrion organization,1,CALM3
53,GO:0006605,protein targeting,1,UBA52
54,GO:0032196,transposition,0,
55,GO:0006913,nucleocytoplasmic transport,0,
56,GO:0071941,nitrogen cycle metabolic process,0,
57,GO:0071554,cell wall organization or biogenesis,0,
58,GO:0007059,chromosome segregation,0,
59,GO:0007009,plasma membrane organization,0,
60,GO:0051604,protein maturation,0,
61,GO:0006914,autophagy,0,
62,GO:0015979,photosynthesis,0,
63,GO:0042254,ribosome biogenesis,0,
64,GO:0019748,secondary metabolic process,0,
65,GO:0022618,ribonucleoprotein complex assembly,0,
66,GO:0006520,cellular amino acid metabolic process,0,
67,GO:0006397,mRNA processing,0,
68,GO:0006399,tRNA metabolic process,0,
69,GO:0043473,pigmentation,0,
70,GO:0030705,cytoskeleton-dependent intracellular transport,0,
71,GO:0140014,mitotic nuclear division,0,
